High Income countries including HIC in Asia,Country Label,Country Name,"Gender (female 1, Male 0)","Fruits, grams per day","Non-starchy vegetables, grams per day","Beans and legumes, grams per day","Nuts and seeds, grams per day","Unprocessed red meats, grams per day","Sugar-sweetened beverages, grams per day","Fruit juices, grams per day","Total protein, grams per day","Calcium, milligrams (mg) per day","Potassium, milligrams (mg) per day","Total milk, grams per day","Cause of death, Stroke, per 100k","Cause of death, Diabetes, per 100k","Cause of death, Cancer, per 100k"
HIC,CYP,Cyprus,1,176.8679,201.18304,55.898224,5.8970523,105.23022,103.84737,54.305317,80.811172,852.57922,2497.0767,143.65512,126.0473428,158.6225631,115.9413065
HIC,CYP,Cyprus,0,149.5894,179.05966,59.501579,6.6632309,116.54733,133.64996,48.944839,86.848618,798.05823,2521.2527,143.09808,106.7457939,204.6934093,114.4647228
HIC,DNK,Denmark,1,137.13255,120.50188,23.369337,2.2778065,65.019264,60.344112,41.849892,75.572739,972.22675,3106.6472,136.37762,153.8390974,44.07652789,387.839504
HIC,DNK,Denmark,0,114.87169,107.38815,24.792774,2.6323669,73.197098,83.519646,37.816227,81.432465,901.1687,3127.2288,134.5641,116.7617915,51.71746058,407.6371838
HIC,FIN,Finland,1,134.83607,119.36099,6.2678781,2.3450027,48.904675,50.244759,54.931602,84.823036,1153.1167,2597.7612,282.24368,164.7261965,21.95371292,259.1480043
HIC,FIN,Finland,0,108.85964,104.61882,6.7452226,2.6722312,64.083481,73.69899,49.376942,91.411972,1078.4974,2614.2607,281.04684,104.9933223,17.9903166,289.2044733
HIC,FRA,"France, Monaco",1,118.25168,190.27296,14.073345,2.7509842,39.275307,71.635826,22.135496,79.237938,835.85052,2855.0383,139.41356,270.3462026,113.6834122,44.6769527
HIC,FRA,"France, Monaco",0,107.97547,177.52371,15.152725,3.1817622,52.02327,98.419083,19.991577,98.34861,911.56238,3319.1694,137.14151,445.2743083,86.97322735,41.12656538
HIC,DEU,Germany,1,202.32556,212.42178,8.8725176,2.4223804,50.996273,86.644485,73.789871,73.384361,1053.739,3549.0554,80.627731,351.3101282,148.7096735,62.32029212
HIC,DEU,Germany,0,166.98608,184.18611,9.7788439,2.8706615,65.059708,126.41478,64.89991,76.156631,980.20508,3454.1055,80.576866,392.8281366,95.1749206,42.07160567
HIC,GRC,Greece,1,156.94447,153.26363,21.689384,5.4906931,79.633827,74.905106,25.502964,82.284889,973.43542,4343.5977,92.874718,284.8685702,46.58440255,260.2242339
HIC,GRC,Greece,0,133.93076,136.40349,22.941969,6.0053458,84.45372,98.269821,22.94742,88.264236,911.91309,4384.3184,90.207253,212.9553673,42.79111888,418.4055765
HIC,ISL,Iceland,1,109.7618,87.140556,4.9691563,0.48862928,51.900578,101.85502,58.068756,96.85878,1067.0776,2630.8057,286.11246,249.218502,100.3444182,17.10624431
HIC,ISL,Iceland,0,88.698891,77.162392,5.3503151,0.54659313,58.505409,126.7852,51.946598,103.89218,986.1734,2656.4941,282.05591,266.1867741,74.76210797,19.26004482
HIC,IRL,Ireland,1,100.32801,149.22032,25.93013,1.1429518,34.537098,119.6334,41.89539,98.738945,887.65271,3570.6689,164.86142,264.6181251,116.2718072,32.24011579
HIC,IRL,Ireland,0,86.283165,134.44777,27.765566,1.3069788,39.677517,152.44305,37.712353,106.13203,864.12744,3599.5757,163.08932,316.6431236,86.49031457,35.32552583
HIC,ITA,Italy,1,224.95158,157.35268,17.542099,0.80710828,55.448383,48.001633,17.877642,76.409225,863.68823,2831.8843,111.54497,295.4159617,66.89741839,166.5190258
HIC,ITA,Italy,0,202.23233,140.53569,18.414806,0.9002974,61.894539,60.816288,16.03463,83.995117,846.43866,3097.3887,102.46165,441.4398211,53.41087179,126.0305243
Asia,JPN,Japan,1,144.44579,248.51274,71.121567,2.4562759,45.46479,89.806671,22.240952,69.688049,596.6275,2800.3015,105.50082,123.7311899,34.28639075,242.6123182
Asia,JPN,Japan,0,108.77936,227.93599,62.133942,2.0622079,47.889767,117.56184,21.21431,65.807991,487.07666,2379.3999,90.746361,120.8230856,34.90215103,386.7464149
HIC,LUX,Luxembourg,1,129.33229,125.97251,17.085117,2.1237285,77.729324,110.22777,58.635342,73.81179,909.70813,3294.7524,90.780373,167.7080648,46.72501492,290.0531312
HIC,LUX,Luxembourg,0,110.1596,113.03977,18.276754,2.4395239,84.541412,144.0769,52.738739,79.435425,850.7381,3323.605,89.167709,109.3825858,32.60522166,368.698562
HIC,MLT,Malta,1,146.15157,112.23044,17.326529,8.2437496,94.146416,140.01285,86.557259,85.555573,1126.4799,3116.4209,199.60292,123.1392167,63.15901238,219.1830212
HIC,MLT,Malta,0,124.51641,98.586006,18.673586,9.3423347,101.62215,178.52522,77.943062,90.797775,1020.1349,3145.1926,196.69159,92.78423219,51.4539371,267.575776
HIC,NLD,Netherlands,1,159.44373,159.89632,34.633797,14.912676,72.877235,172.63936,173.78696,74.755547,989.69928,3155.4744,137.97008,142.7128509,58.6136902,295.1275291
HIC,NLD,Netherlands,0,138.13588,149.12082,39.729763,17.00531,79.305771,201.24881,156.60229,76.037735,914.78168,3105.1768,133.63802,92.33879549,41.11104492,372.4066457
HIC,NZL,New Zealand,1,272.64822,161.52966,58.157494,1.5501611,66.783241,55.417229,45.151615,83.190598,724.62012,3092.6438,141.80777,253.1818323,113.5167618,39.32462781
HIC,NZL,New Zealand,0,214.57637,141.36971,57.224464,1.686506,55.689926,63.855618,40.474728,89.483795,548.36914,3129.2424,132.28484,309.5834808,79.64607772,45.25869909
HIC,NOR,"Norway, Svalbard and Jan Mayen",1,111.08414,101.94965,2.3652024,2.2702041,73.690475,75.855202,34.811741,76.796295,830.44098,2723.6248,141.87833,35.47707371,308.5826178,172.1672709
HIC,NOR,"Norway, Svalbard and Jan Mayen",0,92.172432,89.600136,2.533752,2.6912515,79.74408,102.30985,31.093767,82.547157,786.13049,2754.2212,138.77773,37.98024242,360.3600827,124.4135271
HIC,PRT,Portugal,1,148.01425,145.79445,36.844879,3.5467758,80.372063,98.583771,8.7940388,75.123535,870.0451,3375.3435,130.57526,297.2255061,81.94237745,246.8317014
HIC,PRT,Portugal,0,126.97682,129.95859,38.768681,4.0271187,89.300606,127.98326,7.921093,80.59671,798.82837,3401.4138,129.8493,256.2272459,73.58777775,383.4590324
Asia,KOR,Republic of Korea,1,154.00606,141.60341,50.431366,0.6478104,49.293682,27.05831,16.599808,73.043137,495.24023,3067.917,95.019936,141.6145328,46.14997571,150.4831118
Asia,KOR,Republic of Korea,0,113.48779,138.4635,45.155766,0.6232236,52.948009,42.220142,16.574518,72.970657,472.26044,2886.0369,80.429169,115.0388961,45.7171956,253.770251
Asia,SGP,Singapore,1,208.34708,153.89455,36.890083,2.9004135,19.432501,89.782166,7.6196752,61.061516,507.55408,3757.1062,54.563442,54.2114719,119.128525,23.53831515
Asia,SGP,Singapore,0,175.7309,145.01447,32.782055,2.884057,20.244188,111.94642,7.3693447,61.289558,454.15424,3646.7913,50.028236,44.74222184,153.4988351,18.83099896
HIC,ESP,Spain,1,124.41893,119.46782,26.234034,7.1423864,58.541115,99.919197,23.242201,76.334908,876.79346,3212.552,162.62575,145.6717882,68.54707926,213.7133585
HIC,ESP,Spain,0,109.99393,107.3229,27.774431,8.1687603,65.971016,129.17416,20.951403,82.012474,793.0094,3237.252,160.30312,107.5731346,51.30999434,374.8992862
HIC,SWE,Sweden,1,137.94211,132.68839,9.9513531,2.3461249,70.147667,70.988266,65.023178,77.73558,888.84308,2893.3821,298.54892,321.3963728,179.3799129,40.07808654
HIC,SWE,Sweden,0,106.86545,114.81633,11.119232,2.6483653,88.73056,93.741737,58.45615,82.493095,855.93732,2807.4971,291.52789,358.436362,132.230567,41.78908612
HIC,CHE,"Switzerland, Liechtenstein",1,144.81905,134.86296,4.8277645,4.5149937,59.585728,98.249626,81.637741,68.665718,1016.6036,2744.916,126.98283,76.41386306,39.26896763,334.4711534
HIC,CHE,"Switzerland, Liechtenstein",0,119.49265,119.8265,5.1066332,5.2020564,65.887093,124.78244,72.760597,72.584869,956.10632,2769.0156,124.74404,113.4857109,52.78780991,239.2421551
HIC,GBR,United Kingdom,1,120.68939,139.30351,34.943378,4.3475399,36.446835,153.44957,36.51432,68.516869,887.56586,3534.6196,174.43863,172.0273409,26.04674614,345.7956347
HIC,GBR,United Kingdom,0,100.15926,122.93792,36.513992,4.9960084,40.103592,185.81911,32.689461,71.611267,831.48212,3768.4441,165.47891,109.6978217,25.00451856,394.2641182
HIC,USA,"USA, Puerto Rico and US Virgin Islands",1,90.856201,132.38176,18.141495,3.7196779,38.52512,264.21091,89.290665,81.013123,825.93347,2995.9187,149.42509,105.9460495,65.66429682,277.9705239
HIC,USA,"USA, Puerto Rico and US Virgin Islands",0,81.8899,122.19653,21.805296,4.3188114,47.584606,313.03064,80.749855,86.205826,810.6153,3034.658,159.74077,70.29134253,59.44772334,316.4887486
